id_kks,value,session_date,session_id,cycle_id,tm_update
16,-121.64,2020-05-28-16:06:45,6623,7,1590671212.10499
17,-0.000107422,2020-05-28-16:06:45,6623,7,1590671212.11026
18,-4.88281e-06,2020-05-28-16:06:45,6623,7,1590671212.11311
19,0.000117188,2020-05-28-16:06:45,6623,7,1590671212.11571
20,0.000166016,2020-05-28-16:06:45,6623,7,1590671212.11837
9,1.56156e-39,2020-05-28-16:06:45,6623,8,1590671213.12244
10,1.56228e-39,2020-05-28-16:06:45,6623,8,1590671213.13728
11,1.563e-39,2020-05-28-16:06:45,6623,8,1590671213.13953
12,1.56371e-39,2020-05-28-16:06:45,6623,8,1590671213.14205
13,-107502.0,2020-05-28-16:06:45,6623,8,1590671213.14496
14,-125.67,2020-05-28-16:06:45,6623,8,1590671213.14749
15,-110.424,2020-05-28-16:06:45,6623,8,1590671213.15002
16,-121.647,2020-05-28-16:06:45,6623,8,1590671213.15289
17,-0.000400391,2020-05-28-16:06:45,6623,8,1590671213.15621
18,-3.41797e-05,2020-05-28-16:06:45,6623,8,1590671213.15915
19,0.000195313,2020-05-28-16:06:45,6623,8,1590671213.16182
20,2.92969e-05,2020-05-28-16:06:45,6623,8,1590671213.16441
9,1.56156e-39,2020-05-28-16:06:45,6623,9,1590671214.16879
10,1.56228e-39,2020-05-28-16:06:45,6623,9,1590671214.18398
11,1.563e-39,2020-05-28-16:06:45,6623,9,1590671214.18693
12,1.56371e-39,2020-05-28-16:06:45,6623,9,1590671214.18984
13,-107500.0,2020-05-28-16:06:45,6623,9,1590671214.19309
14,-125.667,2020-05-28-16:06:45,6623,9,1590671214.1958
15,-110.426,2020-05-28-16:06:45,6623,9,1590671214.19832
16,-121.645,2020-05-28-16:06:45,6623,9,1590671214.20053
17,-0.000224609,2020-05-28-16:06:45,6623,9,1590671214.20367
18,0.00012207,2020-05-28-16:06:45,6623,9,1590671214.20627
19,0.000283203,2020-05-28-16:06:45,6623,9,1590671214.20851
20,-2.92969e-05,2020-05-28-16:06:45,6623,9,1590671214.21443
9,1.56156e-39,2020-05-28-16:06:45,6623,10,1590671215.21965
10,1.56228e-39,2020-05-28-16:06:45,6623,10,1590671215.23459
11,1.563e-39,2020-05-28-16:06:45,6623,10,1590671215.23712
12,1.56371e-39,2020-05-28-16:06:45,6623,10,1590671215.23939
13,-107500.0,2020-05-28-16:06:45,6623,10,1590671215.24244
14,-125.665,2020-05-28-16:06:45,6623,10,1590671215.24467
15,-110.427,2020-05-28-16:06:45,6623,10,1590671215.24684
16,-121.639,2020-05-28-16:06:45,6623,10,1590671215.24914
17,-0.000209961,2020-05-28-16:06:45,6623,10,1590671215.25304
18,-4.39453e-05,2020-05-28-16:06:45,6623,10,1590671215.25534
19,0.00012207,2020-05-28-16:06:45,6623,10,1590671215.25772
20,9.27735e-05,2020-05-28-16:06:45,6623,10,1590671215.26015
9,1.56156e-39,2020-05-28-16:06:45,6623,11,1590671216.26476
10,1.56228e-39,2020-05-28-16:06:45,6623,11,1590671216.26954
11,1.563e-39,2020-05-28-16:06:45,6623,11,1590671216.27393
12,1.56371e-39,2020-05-28-16:06:45,6623,11,1590671216.2787
13,-107503.0,2020-05-28-16:06:45,6623,11,1590671216.28387
14,-125.662,2020-05-28-16:06:45,6623,11,1590671216.2877
15,-110.423,2020-05-28-16:06:45,6623,11,1590671216.29139
16,-121.642,2020-05-28-16:06:45,6623,11,1590671216.29504
17,-0.000317383,2020-05-28-16:06:45,6623,11,1590671216.29949
18,0.000214844,2020-05-28-16:06:45,6623,11,1590671216.30385
19,0.000136719,2020-05-28-16:06:45,6623,11,1590671216.30825
20,1.46484e-05,2020-05-28-16:06:45,6623,11,1590671216.31255
9,1.56156e-39,2020-05-28-16:06:45,6623,12,1590671217.31944
10,1.56228e-39,2020-05-28-16:06:45,6623,12,1590671217.33595
11,1.563e-39,2020-05-28-16:06:45,6623,12,1590671217.34039
12,1.56371e-39,2020-05-28-16:06:45,6623,12,1590671217.34477
13,-107503.0,2020-05-28-16:06:45,6623,12,1590671217.34974
14,-125.661,2020-05-28-16:06:45,6623,12,1590671217.3543
15,-110.433,2020-05-28-16:06:45,6623,12,1590671217.35869
16,-121.64,2020-05-28-16:06:45,6623,12,1590671217.36295
17,-0.00015625,2020-05-28-16:06:45,6623,12,1590671217.3682
18,0.000107422,2020-05-28-16:06:45,6623,12,1590671217.37247
19,0.000292969,2020-05-28-16:06:45,6623,12,1590671217.37659
20,-1.95313e-05,2020-05-28-16:06:45,6623,12,1590671217.3805
9,1.56156e-39,2020-05-28-16:06:45,6623,13,1590671218.3869
10,1.56228e-39,2020-05-28-16:06:45,6623,13,1590671218.40364
11,1.563e-39,2020-05-28-16:06:45,6623,13,1590671218.40814
12,1.56371e-39,2020-05-28-16:06:45,6623,13,1590671218.41273
13,-107502.0,2020-05-28-16:06:45,6623,13,1590671218.41775
14,-125.666,2020-05-28-16:06:45,6623,13,1590671218.42236
15,-110.431,2020-05-28-16:06:45,6623,13,1590671218.42674
16,-121.645,2020-05-28-16:06:45,6623,13,1590671218.43074
17,0.000170898,2020-05-28-16:06:45,6623,13,1590671218.4356
18,9.76563e-05,2020-05-28-16:06:45,6623,13,1590671218.43958
19,9.76563e-05,2020-05-28-16:06:45,6623,13,1590671218.44419
20,0.000107422,2020-05-28-16:06:45,6623,13,1590671218.44854
9,1.56156e-39,2020-05-28-16:06:45,6623,14,1590671219.45474
10,1.56228e-39,2020-05-28-16:06:45,6623,14,1590671219.46212
11,1.563e-39,2020-05-28-16:06:45,6623,14,1590671219.46674
12,1.56371e-39,2020-05-28-16:06:45,6623,14,1590671219.47124
13,-107501.0,2020-05-28-16:06:45,6623,14,1590671219.47615
14,-125.663,2020-05-28-16:06:45,6623,14,1590671219.48046
15,-110.422,2020-05-28-16:06:45,6623,14,1590671219.48493
16,-121.642,2020-05-28-16:06:45,6623,14,1590671219.4893
17,-0.000141602,2020-05-28-16:06:45,6623,14,1590671219.4948
18,0.000107422,2020-05-28-16:06:45,6623,14,1590671219.49947
19,0.000234375,2020-05-28-16:06:45,6623,14,1590671219.50393
